,product,productname,productprice,productreview,sentiments
0,product1,latest trending stylish imported T Shirt For Mens,Rs. 777,5052 Ratings20000,neutral
1,product1,latest trending stylish imported T Shirt For Mens,Rs. 777,such a bad staff,neutral
2,product1,latest trending stylish imported T Shirt For Mens,Rs. 777,thanks for the review Follow our store for more updates on upcoming products,neutral
3,product5,Full Sleeves T shirt for men,Rs. 410,4658 Ratings61100,neutral
4,product5,Full Sleeves T shirt for men,Rs. 410,its really mazing shirt I really liked it thank u draz,neutral
5,product5,Full Sleeves T shirt for men,Rs. 410,It was the most bad decision by me to order this shirt,neutral
6,product5,Full Sleeves T shirt for men,Rs. 410,The Fabric are not Goodbut shirt is nice,positive
7,product5,Full Sleeves T shirt for men,Rs. 410,but loose h change ho skti h kia,neutral
8,product5,Full Sleeves T shirt for men,Rs. 410,Galt size bhja hy,neutral
9,product13,Karhai style full sleeves  T shirt for men & young boys,Rs. 700,4554 Ratings30100,neutral
10,product13,Karhai style full sleeves  T shirt for men & young boys,Rs. 700,good summer jursey,neutral
11,product13,Karhai style full sleeves  T shirt for men & young boys,Rs. 700,its a best quality,neutral
12,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,5054 Ratings40000,neutral
13,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,nice stuff thank u I will shop again,neutral
14,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,Thank You So Much For Appreciation Keep Shopping From Us,neutral
15,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,nice  design  and colour,neutral
16,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,Thank You So Much For Appreciation Keep Shopping From Us,neutral
17,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,excellent tshirt ,neutral
18,product57,Black Markhor Printed Cotton T shirt For Him,Rs. 450,very well,positive
19,product64,Full Sleeves Printed T shirt for mens,Rs. 400,5051 Ratings10000,neutral
20,product64,Full Sleeves Printed T shirt for mens,Rs. 400,loved the material and the color actually looks better in person,neutral
21,product64,Full Sleeves Printed T shirt for mens,Rs. 400,thank you so much your feedback valuable for us,neutral
22,product65,New Sleeves Strip Style T-Shirt For Men,Rs. 599,5051 Ratings10000,neutral
23,product65,New Sleeves Strip Style T-Shirt For Men,Rs. 599,Awesome product and good quality as shown in pic Highly recommended by my side,neutral
24,product65,New Sleeves Strip Style T-Shirt For Men,Rs. 599,Thanks we are Hoping you will Shopping Again to Our Shop,neutral
25,product66,Men's High Neck Slim Fit Long Sleeve Mock Turtle Neck T Shirt Turtleneck Top,Rs. 399,5051 Ratings10000,neutral
26,product66,Men's High Neck Slim Fit Long Sleeve Mock Turtle Neck T Shirt Turtleneck Top,Rs. 399,nice tshirt,neutral
27,product67,Winter Hoodie Export Quality For Men And Women,Rs. 549,4353 Ratings20100,neutral
28,product67,Winter Hoodie Export Quality For Men And Women,Rs. 549,lovely l like  it,neutral
29,product68,Full Sleeves T shirt for men,Rs. 410,5053 Ratings30000,neutral
30,product68,Full Sleeves T shirt for men,Rs. 410,same as shown in the picture although some threads are sticking out but overall the quality i good,positive
31,product68,Full Sleeves T shirt for men,Rs. 410,thank you so much your feedback valuable for us,neutral
32,product68,Full Sleeves T shirt for men,Rs. 410,good experience but size ka issue hai,neutral
33,product68,Full Sleeves T shirt for men,Rs. 410,not good,positive
34,product69,KK BRANDS Maroon Plain Full Sleeves T Shirt For Boys,Rs. 353,3957 Ratings50002,neutral
35,product69,KK BRANDS Maroon Plain Full Sleeves T Shirt For Boys,Rs. 353,fraudShirt Tear hoe ha,neutral
36,product69,KK BRANDS Maroon Plain Full Sleeves T Shirt For Boys,Rs. 353,2number shirt hai same nahi,neutral
37,product69,KK BRANDS Maroon Plain Full Sleeves T Shirt For Boys,Rs. 353,nice tshirt,neutral
38,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,4554 Ratings30100,neutral
39,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,sir ya tshart ai hai pic m jo hai ya wo to nahe hai ap isko change karrain jo pic may hai wo bahjayn,neutral
40,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,I buy XL size but darar give large size not too good not too bed,neutral
41,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,ok fine quality but not satisfied,positive
42,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,“We are so grateful for your kind words Thanks for sharing your review with us and the community”Please Follow Our Store ,neutral
43,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,good,positive
44,product70,KK Brands Maroon Plain Full Sleeves T Shirt For Boys,Rs. 349,“We are so grateful for your kind words Thanks for sharing your review with us and the community” Please Follow Our Store ,neutral
45,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,3655 Ratings30011,neutral
46,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,not satisfiedAvg product Avg stitching with threads comming outnot worth 440 spentcan be used as under shirt only,neutral
47,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,Nice T shirt and best quality and good stuff delivery time amazing  thank you soo much daraz,neutral
48,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,This is the best product in Daraz,neutral
49,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,“We are so grateful for your kind words Thanks for sharing your review with us and the community”Please Follow Our Store ,neutral
50,product71,KK BRANDS Plain Full Sleeve T Shirt Men’s Causal,Rs. 399,half sleeve shirt mili ha mujha,neutral
51,product72,High Quality Branded T-Shirts For Formal and office use with quality fabric & Stitching in Elegant Designs For Men,Rs. 799,1051 Ratings00001,neutral
52,product72,High Quality Branded T-Shirts For Formal and office use with quality fabric & Stitching in Elegant Designs For Men,Rs. 799,opposite to ordernot even 1 match very bad experience i wasted my money never order from u guys,neutral
53,product73,Jumper T-Shirts Flower Print Full Sleeves,Rs. 549,4655 Ratings40100,neutral
54,product73,Jumper T-Shirts Flower Print Full Sleeves,Rs. 549,nan,neutral
55,product73,Jumper T-Shirts Flower Print Full Sleeves,Rs. 549,The quality wasnt satisfactory and there was a stain at the back side of the shirt too,neutral
56,product73,Jumper T-Shirts Flower Print Full Sleeves,Rs. 549,Nice shirt and about quality for compare prize is just ok,positive
57,product73,Jumper T-Shirts Flower Print Full Sleeves,Rs. 549,Thanks keep Enjoy,neutral
58,product73,Jumper T-Shirts Flower Print Full Sleeves,Rs. 549,stouf Acha ni BILKOL b,neutral
59,product73,Jumper T-Shirts Flower Print Full Sleeves,Rs. 549,same to same,neutral
60,product119,Ertugrul printed logo Full Sleeves T-shirt for men,Rs. 395,4051 Ratings01000,neutral
61,product119,Ertugrul printed logo Full Sleeves T-shirt for men,Rs. 395,best quality,neutral
62,product125,KK BRANDS New Arrival 2020 Summer t-shirt Full Sleeves Cotton tee Printed T Shirt for BoysGirl,Rs. 392,5052 Ratings20000,neutral
63,product125,KK BRANDS New Arrival 2020 Summer t-shirt Full Sleeves Cotton tee Printed T Shirt for BoysGirl,Rs. 392,sir L boli the M ahai ha,neutral
64,product125,KK BRANDS New Arrival 2020 Summer t-shirt Full Sleeves Cotton tee Printed T Shirt for BoysGirl,Rs. 392,Dear Yeh M Nahi Hai L Hai Is Bar Ghalti Se Print M Hogaya Stamp Se Sorry Sir,neutral
65,product126,Ertugrul printed logo Full Sleeves T-shirt for men,Rs. 390,4052 Ratings10100,neutral
66,product126,Ertugrul printed logo Full Sleeves T-shirt for men,Rs. 390,i ordered in full sleeves  but recieved  in half sleeve,neutral
67,product126,Ertugrul printed logo Full Sleeves T-shirt for men,Rs. 390,its nice ,positive
68,product127,black printed tshirt,Rs. 1,299,neutral
69,product127,black printed tshirt,Rs. 1,Same as shown in picsQuality product,neutral
70,product127,black printed tshirt,Rs. 1,design  very nice but cloth quality low,neutral
71,product133,Jumper T-Shirts Flower Print Full Sleeves,Rs. 765,5051 Ratings10000,neutral
72,product133,Jumper T-Shirts Flower Print Full Sleeves,Rs. 765,Print same but 0 quality ,neutral
73,product137,Full Sleeves T shirt for men,Rs. 410,5051 Ratings10000,neutral
74,product137,Full Sleeves T shirt for men,Rs. 410,Amazing quality product The sizes are perfect and the material is very soft Also received the delivery i only 1 dayGreat,neutral
75,product137,Full Sleeves T shirt for men,Rs. 410,thank you so much your feedback valuable for us,neutral
76,product144,OH YES Full Sleeves Round Neck Printed T shirt for men,Rs. 399,5052 Ratings20000,neutral
77,product144,OH YES Full Sleeves Round Neck Printed T shirt for men,Rs. 399,Not good Its totally different quality is much poor,negative
78,product144,OH YES Full Sleeves Round Neck Printed T shirt for men,Rs. 399,not that good to be appreciated but ok,positive
79,product144,OH YES Full Sleeves Round Neck Printed T shirt for men,Rs. 399,thank you so much your feedback valuable for us,neutral
80,product157,Tracksuits for men,Rs. 1,299,neutral
81,product157,Tracksuits for men,Rs. 1,good job,neutral
82,product157,Tracksuits for men,Rs. 1,Thanks Sir For your comment and for your love,positive
83,product161,zipper t shirt for men,Rs. 499,45521 Ratings161310,neutral
84,product161,zipper t shirt for men,Rs. 499,Awesome Quality in very fair priceAppreciated,neutral
85,product161,zipper t shirt for men,Rs. 499,plzz sir ye t shirt ki link frnds m bhi share karo ta k hamari sale ziada ho,neutral
86,product161,zipper t shirt for men,Rs. 499,Thats exactly it Clothes are also better,positive
87,product161,zipper t shirt for men,Rs. 499,thanks,positive
88,product161,zipper t shirt for men,Rs. 499,amazing  very nice,positive
89,product161,zipper t shirt for men,Rs. 499,,positive
90,product161,zipper t shirt for men,Rs. 499,amazing ️,neutral
91,product161,zipper t shirt for men,Rs. 499,thank u so much,neutral
92,product161,zipper t shirt for men,Rs. 499,i ordered blue shirt they me quality was average with same price tag you can get better one locally not highly recommended,positive
93,product162,Black Thumb Style T-Shirt for Men Long Sleeves T shirts,Rs. 599,44531 Ratings225013,neutral
94,product162,Black Thumb Style T-Shirt for Men Long Sleeves T shirts,Rs. 599,product is good but u ordered it in black and i got it  grey aside from that it i good,positive
95,product162,Black Thumb Style T-Shirt for Men Long Sleeves T shirts,Rs. 599,Same as shown  Nice stuff  Recomanded And by the way good service,neutral
96,product162,Black Thumb Style T-Shirt for Men Long Sleeves T shirts,Rs. 599,the quality of the product is superbvery stylish fast service overall very satisfied thank you daraz,neutral
97,product162,Black Thumb Style T-Shirt for Men Long Sleeves T shirts,Rs. 599,the fabric is awesome  didnt expect this from daraz its medium and fits me so good,positive
98,product162,Black Thumb Style T-Shirt for Men Long Sleeves T shirts,Rs. 599,i asked for black  got grey product was still good,positive
99,product163,latest new design winter sleeves zipper t-shirt for men,Rs. 515,38517 Ratings85013,neutral
100,product163,latest new design winter sleeves zipper t-shirt for men,Rs. 515,cloth Quality is good but the graphic design doesnt match with the picture,neutral
101,product163,latest new design winter sleeves zipper t-shirt for men,Rs. 515,kpra bht acha hai nice experience,neutral
102,product163,latest new design winter sleeves zipper t-shirt for men,Rs. 515,thanks ap iss tshirt ki link frnds m bhi share karo,neutral
103,product163,latest new design winter sleeves zipper t-shirt for men,Rs. 515,great shirt Nice colth,neutral
104,product163,latest new design winter sleeves zipper t-shirt for men,Rs. 515,thanks,positive
105,product163,latest new design winter sleeves zipper t-shirt for men,Rs. 515,fantastic material shown in picture is not same overall ok,positive
106,product163,latest new design winter sleeves zipper t-shirt for men,Rs. 515,thanks plzz ap link frnds m bhi share krdo,neutral
107,product163,latest new design winter sleeves zipper t-shirt for men,Rs. 515,Staff bilkul ganda nikla ha pic kuch ha or aya kuch or ha,neutral
108,product163,latest new design winter sleeves zipper t-shirt for men,Rs. 515,ap ko psnd nh aya khali,neutral
109,product164,warn hoodie t-shirt 2020 winter style,Rs. 500,4558 Ratings70001,neutral
110,product164,warn hoodie t-shirt 2020 winter style,Rs. 500,shirt bohot zabardast hay or thanks to daraz jo pic may tha same wahi product aya and thanks for the fastest delivery,neutral
111,product164,warn hoodie t-shirt 2020 winter style,Rs. 500,thank u so much bro,neutral
112,product164,warn hoodie t-shirt 2020 winter style,Rs. 500,wonderful product and the dilevery awesome thanks daraz and their team good product i this price,neutral
113,product164,warn hoodie t-shirt 2020 winter style,Rs. 500,very good quality,neutral
114,product164,warn hoodie t-shirt 2020 winter style,Rs. 500,thanks,positive
115,product164,warn hoodie t-shirt 2020 winter style,Rs. 500,its very good,positive
116,product164,warn hoodie t-shirt 2020 winter style,Rs. 500,its very good,positive
117,product164,warn hoodie t-shirt 2020 winter style,Rs. 500,thanks bro,neutral
118,product165,hoodie t-shirt for men,Rs. 525,3855 Ratings30101,neutral
119,product165,hoodie t-shirt for men,Rs. 525,wonderful product and the dilevery awesome thanks daraz for this gift bhot axha quality and stuff hy bay ki jiy ga bhot hi kmaal ka product h thanks daraz and their team,neutral
120,product165,hoodie t-shirt for men,Rs. 525,frnds m item ki link send karo,neutral
121,product165,hoodie t-shirt for men,Rs. 525,Wonderful product dont hesitate to buy,neutral
122,product165,hoodie t-shirt for men,Rs. 525,plzz iss item ki link frnds m bhi share karo ta k hamari sale ziada ho,neutral
123,product165,hoodie t-shirt for men,Rs. 525,Poor already torn,neutral
124,product165,hoodie t-shirt for men,Rs. 525,srif ap ko laga hoga,neutral
125,product166,Pack of 2 Men Premium High Neck White and Black Full Sleeve Pullover Stretchable Ribbed Cotton & Lycra T-Shirt Turtleneck Tops Sweatshirt Winter Warm Free Size Every Fitter Special offer InnerWear pk,Rs. 999,5053 Ratings30000,neutral
126,product166,Pack of 2 Men Premium High Neck White and Black Full Sleeve Pullover Stretchable Ribbed Cotton & Lycra T-Shirt Turtleneck Tops Sweatshirt Winter Warm Free Size Every Fitter Special offer InnerWear pk,Rs. 999,Second order and fully satisfied Delivery is fast and fabric is just amazingi love it ,neutral
127,product166,Pack of 2 Men Premium High Neck White and Black Full Sleeve Pullover Stretchable Ribbed Cotton & Lycra T-Shirt Turtleneck Tops Sweatshirt Winter Warm Free Size Every Fitter Special offer InnerWear pk,Rs. 999,We are So happy to hear that you got exactly what you wanted Your experience went nice with us we look forward to seeing you again soon Thank you for shopping with us Have a good day Regards,neutral
128,product166,Pack of 2 Men Premium High Neck White and Black Full Sleeve Pullover Stretchable Ribbed Cotton & Lycra T-Shirt Turtleneck Tops Sweatshirt Winter Warm Free Size Every Fitter Special offer InnerWear pk,Rs. 999,nice product 100 recommended ️stuff is good everything is fine lekin tight bht ha bcz one size ha agr isme b size hote tu aur maza ata️,neutral
129,product167,Tracksuit,Rs. 699,nan,neutral
130,product167,Tracksuit,Rs. 699,good quality same,neutral
131,product167,Tracksuit,Rs. 699,Thanks alot,neutral
132,product168,KK BRANDS full sleeve T shirts new style code 3131,Rs. 393,5055 Ratings50000,neutral
133,product168,KK BRANDS full sleeve T shirts new style code 3131,Rs. 393,Excellent Quality nice color and Size same as I ordered everything is perfect,positive
134,product168,KK BRANDS full sleeve T shirts new style code 3131,Rs. 393,my order is maroon colour but deliver black  very very Low quality fabric ,neutral
135,product169,Ertugrul Adult Armor costume,Rs. 2,200,neutral
136,product169,Ertugrul Adult Armor costume,Rs. 2,great product,neutral
137,product169,Ertugrul Adult Armor costume,Rs. 2,Thank you Brother,neutral
138,product170,Thumb hoodie T-Shirt best winter item for men,Rs. 520,3756 Ratings40002,neutral
139,product170,Thumb hoodie T-Shirt best winter item for men,Rs. 520,I have ordered in Grey and they send me Black The stuff is also not good and they send me without a tag service is good but I am Unsatisfied,neutral
140,product170,Thumb hoodie T-Shirt best winter item for men,Rs. 520,i said in gray n u send me black and size is also L i want XLi want to exchange it,neutral
141,product170,Thumb hoodie T-Shirt best winter item for men,Rs. 520,ok size ,neutral
142,product170,Thumb hoodie T-Shirt best winter item for men,Rs. 520,the qulity is same like picture,neutral
143,product170,Thumb hoodie T-Shirt best winter item for men,Rs. 520,thanks sir,neutral
144,product172,Stretchable Imported Quality T-Shirt for Men's Casual Tops T-Shirts - Full Sleeves T-Shirts for Man's- Casual Tops - T-Shirts for Adults,Rs. 795,3052 Ratings10001,neutral
